FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,LATNUM,LONGNUM
982,HAI,9,,5,3,1,2,2,1,1,0,0.909090909,1,1,0,1,1,1,16,12,45,19.93229,-72.719698
983,HAI,9,,7,1,2,2,1,1,1,0,,0,0,0,1,1,0,1,11,,19.924552,-72.708528
984,HAI,9,,7,4,2,2,2,1,0,0,0.363636364,0,1,0,1,1,0,1,2,,19.872508,-72.736662
985,HAI,9,,7,2,2,2,2,0,1,0,0.545454545,1,0,0,1,0,0,2,1,,19.845013,-72.690793
986,HAI,9,,7,1,2,2,1,0,1,0,0.454545455,1,0,0,1,0,1,2,3,6,19.912123,-72.697075
987,HAI,9,,7,2,2,2,2,1,1,0,0.545454545,1,0,0,1,0,0,1,5,,19.869538,-72.681197
988,HAI,9,,5,4,2,2,2,1,1,1,0.636363636,1,1,1,1,0,1,5,12,10,19.905733,-72.655808
992,HAI,9,,7,1,2,2,1,0,1,1,0.636363636,0,1,0,1,0,0,1,9,,19.845407,-72.609
993,HAI,9,,7,1,2,2,1,0,0,1,0.545454545,0,0,0,1,0,0,,6,,19.839008,-72.640165
994,HAI,9,,7,1,2,2,1,0,0,0,0.181818182,0,0,0,1,0,0,,9,,19.883242,-72.5793
995,HAI,9,,5,1,1,2,1,1,1,1,0.727272727,0,1,1,1,1,1,5,37,20,0,0
996,HAI,9,,7,1,2,2,1,1,1,0,0.454545455,0,0,0,0,0,0,,6,,19.783107,-73.244625
997,HAI,9,,5,1,2,2,1,1,1,1,,1,1,1,1,1,1,6,16,5,19.803452,-73.375152
998,HAI,9,,7,1,2,2,1,1,0,0,0.454545455,0,1,0,0,0,0,,4,,19.831658,-73.265285
999,HAI,9,,7,1,2,2,1,1,1,0,,0,1,1,1,0,0,8,19,,19.813652,-73.267885
1000,HAI,9,,7,1,2,2,1,1,1,0,0.545454545,0,0,0,0,0,0,,4,,19.823595,-73.291292
1001,HAI,9,,5,1,2,2,1,1,1,0,0.727272727,1,1,0,1,0,1,11,20,23,19.801932,-73.256172
1002,HAI,9,,6,4,1,2,2,1,1,0,0.636363636,0,1,1,1,1,1,2,9,0,19.6636,-73.210302
1003,HAI,9,,7,1,2,2,1,0,1,1,0.454545455,0,1,0,1,1,0,,4,,19.678188,-73.288012
1004,HAI,9,,7,2,2,2,2,1,1,0,0.727272727,1,1,0,1,1,0,3,11,,19.751352,-73.211818
1005,HAI,9,,7,1,2,2,1,1,1,0,,1,1,0,1,0,0,,8,,19.728258,-73.159212
1006,HAI,9,,7,1,2,2,1,0,1,0,0.545454545,1,1,0,1,0,0,1,5,,19.720468,-73.171368
1007,HAI,9,,6,1,2,2,1,0,0,0,,0,1,0,0,0,0,,2,,19.700955,-73.141383
1008,HAI,9,,5,1,1,2,1,1,1,0,0.727272727,1,1,1,1,0,1,19,9,60,19.693535,-73.33742
1009,HAI,9,,7,4,2,2,2,,,,,,,,,,,,,,19.632193,-73.374188
1010,HAI,9,,7,1,2,2,1,0,1,0,0.454545455,1,1,0,1,0,0,,21,,19.70025,-73.382827
1011,HAI,9,,7,1,2,2,1,1,1,0,,1,1,0,1,1,0,,18,,19.694702,-73.368253
1013,HAI,9,,7,1,2,2,1,0,1,0,,1,1,0,1,0,0,,4,,19.704218,-73.395312
1014,HAI,9,,7,1,2,2,1,0,1,0,0.363636364,0,1,0,1,0,0,,6,,19.78325,-73.01832
1015,HAI,9,,7,1,2,2,1,1,1,0,0.545454545,1,1,1,1,0,0,,8,,19.83261,-73.01515
1016,HAI,9,,7,1,2,2,1,0,1,0,0.454545455,1,1,0,1,0,0,,4,,19.862583,-73.073785
1017,HAI,9,,7,3,2,2,2,0,1,0,,1,0,0,0,0,0,1,7,,19.87993,-73.076245
1018,HAI,9,,7,1,2,2,1,,,,,,,,,,,,,,19.80076,-73.077797
1019,HAI,9,,7,1,2,2,1,0,1,0,0.363636364,0,0,0,0,0,0,1,3,,19.905308,-73.040398
1020,HAI,9,,7,1,2,2,1,0,1,0,0.272727273,0,0,0,0,1,0,4,11,,19.875153,-73.013973
1021,HAI,9,,7,4,2,2,2,0,1,0,0.363636364,0,0,0,1,0,0,,4,,19.80109,-73.110163
1022,HAI,9,,7,1,2,2,1,1,1,1,,0,0,0,1,1,0,,3,,19.859927,-73.097935
1023,HAI,9,,7,1,2,2,1,1,1,0,0.363636364,0,1,1,1,0,0,,17,,19.830698,-73.133468
1024,HAI,9,,7,1,2,2,1,1,1,0,,0,0,0,0,0,0,1,3,,19.764195,-73.094853
1025,HAI,9,,3,1,1,1,1,0,0,0,0.181818182,0,1,1,1,0,1,45,44,299,19.855917,-73.190002
1026,HAI,9,,7,1,2,2,1,1,1,0,0.363636364,0,1,0,1,0,0,,4,,19.905585,-73.194912
1027,HAI,9,,7,1,2,2,1,0,0,0,0.272727273,0,1,0,1,0,0,,9,,19.75409,-73.149223
1028,HAI,9,,7,4,2,2,2,0,0,0,0.363636364,0,1,0,1,1,0,,13,,19.790523,-73.147858
1029,HAI,9,,7,1,2,2,1,0,1,0,0.363636364,0,1,0,1,0,0,,4,,19.77744,-73.19216
1032,HAI,9,,7,4,2,2,2,1,1,1,,0,0,0,0,0,0,,10,,19.837715,-73.205373
1034,HAI,9,,7,1,2,2,1,0,1,1,,0,1,0,1,0,1,2,3,9,19.816447,-73.238215
1035,HAI,9,,7,1,2,2,1,0,1,0,,0,0,0,1,0,0,,6,,19.83666,-73.232625
1036,HAI,10,,7,4,2,2,2,1,1,1,0.636363636,1,1,0,1,0,0,,6,,18.37153,-73.292878
