FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients
10319,BAN,2,,3,1,1,2,1,1,1,0,.454545454545455,0,1,,,0,0,,5,
10320,BAN,2,,6,1,2,2,1,1,1,0,.545454545454545,0,1,,,0,0,,3,
10321,BAN,2,,6,1,2,2,1,,,,,,,,,,,,,
10322,BAN,2,,8,1,2,2,1,0,1,0,.181818181818182,0,0,,,1,0,,3,
10324,BAN,2,,4,1,2,2,1,1,1,0,.363636363636364,0,1,,,0,0,,7,
10326,BAN,2,,6,1,2,2,1,1,0,0,,0,0,,,0,0,,2,
10327,BAN,2,,8,1,2,2,1,1,1,0,,0,1,,,1,0,,3,
10330,BAN,2,,4,1,2,2,1,,,,,,,,,,,,,
10331,BAN,2,,8,1,2,2,1,,1,0,,0,1,,,0,0,,3,
10334,BAN,2,,4,1,2,2,1,1,1,0,.181818181818182,0,0,,,0,0,,2,
10335,BAN,2,,6,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,2,
10336,BAN,2,,8,1,2,2,1,1,1,0,.454545454545455,0,1,,,1,0,,3,
10337,BAN,2,,9,3,2,2,2,1,1,0,.181818181818182,0,0,,,0,0,,7,
10338,BAN,2,,6,1,2,2,1,1,0,1,,0,0,,,0,0,,2,
10339,BAN,2,,3,1,2,2,1,,0,1,,0,0,,,0,0,,0,
10340,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,2,
10341,BAN,2,,6,1,2,2,1,1,1,0,.363636363636364,0,1,,,0,0,,2,
10342,BAN,2,,8,1,2,2,1,1,1,0,,0,1,,,0,0,,1,
10343,BAN,2,,8,1,2,2,1,0,1,0,,0,0,,,0,0,,3,
10344,BAN,2,,10,4,1,2,2,,,,,,,,,,,,,
10345,BAN,2,,4,1,2,2,1,1,0,0,.363636363636364,0,0,,,0,0,,1,
10346,BAN,2,,8,1,2,2,1,1,1,0,,0,0,,,1,0,,3,
10347,BAN,2,,4,1,2,2,1,0,0,0,.181818181818182,0,0,,,0,0,,2,
10356,BAN,2,,8,1,2,2,1,1,0,0,.181818181818182,0,1,,,1,0,,2,
10357,BAN,2,,5,1,2,2,1,0,1,0,.363636363636364,0,1,,,1,0,,1,
10358,BAN,2,,8,1,2,2,1,,0,0,,0,1,,,0,0,,3,
10359,BAN,2,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,0,0,,3,
10360,BAN,2,,5,1,2,2,1,0,1,0,.363636363636364,0,1,,,0,0,,2,
10361,BAN,2,,8,1,2,2,1,1,1,1,.363636363636364,0,1,,,1,0,,1,
10362,BAN,2,,8,1,2,2,1,,1,0,,0,1,,,1,0,,3,
10363,BAN,2,,5,1,2,2,1,0,1,0,.545454545454545,0,1,,,0,0,,4,
10364,BAN,2,,8,1,2,2,1,1,1,0,.545454545454545,0,1,,,0,0,,2,
10366,BAN,2,,4,1,2,2,1,0,0,0,,0,0,,,0,0,,3,
10367,BAN,2,,8,1,2,2,1,0,1,1,,0,1,,,0,0,,2,
10368,BAN,2,,9,3,2,2,2,1,1,0,,0,1,,,0,0,,5,
10369,BAN,2,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,0,0,,2,
10370,BAN,2,,5,1,2,2,1,1,1,0,.545454545454545,1,0,,,1,0,,3,
10373,BAN,2,,8,1,2,2,1,,1,0,,0,0,,,0,0,,3,
10374,BAN,2,,9,3,1,2,2,1,1,1,1,1,0,,,1,0,,6,
10379,BAN,2,,10,4,1,2,2,,,,,,,,,,,,,
10381,BAN,2,,8,1,2,2,1,1,0,0,,0,0,,,1,0,,2,
10382,BAN,2,,5,1,2,2,1,1,1,1,.727272727272727,1,0,,,1,0,,3,
10383,BAN,2,,6,1,2,2,1,,0,0,,0,0,,,0,0,,2,
10385,BAN,2,,4,1,2,2,1,0,1,0,.363636363636364,0,1,,,0,0,,5,
10386,BAN,2,,8,1,2,2,1,0,1,1,,0,1,,,1,0,,2,
10387,BAN,2,,5,1,2,2,1,0,1,0,.636363636363636,1,0,,,0,0,,4,
10388,BAN,2,,8,1,2,2,1,1,0,0,,0,0,,,1,0,,3,
10390,BAN,2,,8,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,3,
10397,BAN,2,,8,1,2,2,1,1,1,0,,0,0,,,0,0,,3,
10398,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,1,
10403,BAN,2,,8,1,2,2,1,0,1,0,,0,0,,,0,0,,3,
10405,BAN,2,,5,1,2,2,1,0,1,0,.818181818181818,1,0,,,0,0,,8,
10408,BAN,2,,4,1,2,2,1,1,0,0,.181818181818182,0,0,,,0,0,,5,
10409,BAN,2,,6,1,2,2,1,0,0,0,,0,1,,,0,0,,2,
10410,BAN,2,,8,1,2,2,1,1,0,0,,0,0,,,0,0,,2,
10413,BAN,2,,5,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,5,
10414,BAN,2,,6,1,2,2,1,1,0,0,.181818181818182,0,1,,,0,0,,7,
10415,BAN,2,,8,1,2,2,1,1,0,0,,0,1,,,0,0,,2,
10419,BAN,2,,8,1,2,2,1,1,0,0,.454545454545455,0,0,,,0,0,,3,
10421,BAN,2,,6,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,2,
10422,BAN,2,,4,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,4,
